Impressions,Courses,Motivation_grade,Motivation_future_career,Motivation_intellectual_challenge,Motivation_code_cool_stuff,Motivation_social_interaction,Motivation_ahead_of_time,Confidence_java,Confidence_python,Confidence_nested_loops,Confidence_pseudocode,Confidence_summations,Confidence_partial_derivatives,Confidence_vector_dot_product,Confidence_linear_regression,Confidence_conditional_probability
"I think data mining is very powerful, and can be used in a good and meaningful way.","CSC 111 Data Science and Visualization, CSC 230 Computer Science II, CSC 242 Organization and Architecture, CSC 301 Database Systems, CSC 320 Web Development, CSC 331 Algorithm Analysis, CSC 335 Programming Languages, CSC 340 Mobile App Development",6,7,6,7,6,6,7,5,7,6,7,7,6,6,5
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
